team,experience,salary,points3,points2,free_throws,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
DAL,6.642857142857143,90886495,626,2254,1373,7759,807,2537,1784,601,354,1136,1329,140.32690455395513
IND,4.2,91915088,985,2183,1536,8857,744,2698,2069,617,341,1037,1686,148.2524702723612
ORL,3.466666666666667,65451210,738,1950,1381,7495,608,2546,1593,547,372,1152,1522,147.78234277005438
MIN,3.8666666666666667,92076887,565,2162,1330,7349,865,2416,1746,605,339,952,1275,139.1024968365286
BOS,4.4,100246289,808,2102,1499,8127,634,2636,1805,550,320,827,1198,145.2993820869104
POR,8.533333333333333,125790216,1012,2107,1355,8605,727,2639,1760,475,299,1005,1318,177.85851381041783
LAC,4.133333333333334,92098200,754,1803,1042,6910,534,2109,1291,538,266,703,1280,148.22430214515933
PHO,4.933333333333334,78382995,868,2347,1471,8769,867,2646,2009,538,285,1097,1458,167.35948060634087
UTA,3.6666666666666665,103073911,631,2638,1140,8309,908,2838,1731,574,310,932,1467,136.37624224785537
OKC,6.733333333333333,98690906,982,2540,1447,9473,759,2854,2475,779,551,1171,1565,172.39163891909195
PHI,4,84657075,1141,1769,1508,8469,766,2429,1906,564,292,1046,1314,155.10314586870086
NOP,6,84570337,641,2331,1333,7918,679,2436,1713,612,391,996,1490,135.06971617160218
DET,8.266666666666667,114776621,841,2401,1586,8911,740,2790,1848,613,349,1024,1626,147.12418871785297
GSW,4.4,86269182,592,2249,1080,7354,909,2462,1430,593,307,1028,1593,143.97677477822208
MEM,5.533333333333333,108342284,750,2140,1465,7995,866,2534,1669,612,329,973,1748,140.97073285110503
BRK,4.5,72780438,799,2349,1217,8312,857,2649,1728,577,464,1019,1647,151.99017964490716
CHI,4.571428571428571,90271843,718,2424,1388,8390,700,2541,1953,651,422,1064,1601,153.25882055538148
SAC,3.4285714285714284,59380935,601,2623,1585,8634,938,2530,1934,652,370,1095,1644,144.8383278764674
HOU,3.9285714285714284,90634300,513,1952,1120,6563,580,2244,1523,497,380,823,1164,164.2521489925603
WAS,3.933333333333333,97006917,636,2445,1262,8060,961,2591,1499,526,451,975,1584,143.90333025040684
LAL,3.6666666666666665,86981364,611,2380,1511,8104,936,2628,1610,595,394,1133,1561,146.86802910015845
CHO,3.8,102409129,614,2168,1230,7408,699,2435,1744,544,302,978,1432,125.14061717044824
TOR,2.2666666666666666,55779169,690,1917,1212,7116,673,2282,1788,599,369,1184,1516,164.09158244312238
SAS,4.533333333333333,72527291,564,2551,1605,8399,882,2456,1530,587,385,1171,1886,144.30651938242653
NYK,3.0714285714285716,103032234,852,2156,1386,8254,710,2437,1519,524,345,988,1587,143.73205157796548
CLE,4.533333333333333,88194223,558,1838,998,6348,524,1878,1394,503,234,847,1302,148.39536657734533
DEN,6.6,104686678,743,2459,1431,8578,821,2768,1926,650,485,1038,1479,146.62364621805375
ATL,3.8,108458469,626,2359,1570,8166,848,2533,1469,621,379,933,1609,158.76579846156505
MIA,4.733333333333333,80323193,791,2242,1401,8258,771,2774,1651,550,410,1061,1545,145.81934827477448
MIL,4,98779271,671,2417,1316,8163,748,2393,1861,605,314,1017,1465,143.01169208719813
